Id,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_CompanyCode,Values_EnerSource,Values_OperStartdate,Values_State,Date
Sistema,3EL9,AGPE HOYOSTOOLS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,DCLC,RAD SOLAR,2022-07-07,OPERACION,2022-07-30
Sistema,3EM6,AGPE LAVANDERIA BURBUJAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-14,OPERACION,2022-07-30
Sistema,3EM8,AGPE MOLDES Y MECANIZADOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-14,OPERACION,2022-07-30
Sistema,3ENE,SINCE,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2022-07-31,PRUEBAS,2022-07-30
Sistema,3EO5,AGPE CASA GABRIEL ROSALES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-28,OPERACION,2022-07-30
Sistema,3EO7,AGPE AVICOLA LA ESPERANZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-29,OPERACION,2022-07-30
Sistema,ABJ1,LA CASCADA ( ABEJORRAL),HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,GPEG,AGUA,2007-09-17,OPERACION,2022-07-30
Sistema,AFR1,AGUA FRESCA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ADCG,AGUA,2008-04-10,OPERACION,2022-07-30
Sistema,ALBG,ALBAN,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2000-12-15,OPERACION,2022-07-30
Sistema,ALTG,ALTO TULUA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2012-05-28,OPERACION,2022-07-30
Sistema,AMA1,AMAIME,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2011-01-06,OPERACION,2022-07-30
Sistema,AMF1,AMALFI,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,HZEG,AGUA,2007-08-05,OPERACION,2022-07-30
Sistema,AMR1,AMERICA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPMG,AGUA,1997-01-01,OPERACION,2022-07-30
Sistema,APHA,FUTURA - PARQUE ALPHA,EOLICA,DESPACHADO CENTRALMENTE,NORMAL,VNRG,VIENTO,2022-12-01,PRUEBAS,2022-07-30
Sistema,ARG1,AUTOG ARGOS CARTAGENA,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,GAS,2016-03-15,OPERACION,2022-07-30
Sistema,ASN1,ASNAZU,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,GNCG,AGUA,1934-01-01,OPERACION,2022-07-30
Sistema,AYR1,AUTOG AYURA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPMG,AGUA,1983-10-26,OPERACION,2022-07-30
Sistema,BAR1,BARROSO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2012-11-30,OPERACION,2022-07-30
Sistema,BETA,FUTURA - PARQUE BETA,EOLICA,DESPACHADO CENTRALMENTE,NORMAL,EOEG,VIENTO,2022-12-01,PRUEBAS,2022-07-30
Sistema,BLL3,BELLO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPMG,AGUA,1997-01-01,OPERACION,2022-07-30
Sistema,BLM1,BELMONTE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EEPG,AGUA,1939-01-01,OPERACION,2022-07-30
Sistema,BSQ1,EL BOSQUE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ERCG,AGUA,1935-01-01,OPERACION,2022-07-30
Sistema,BYN1,BAYONA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,DLRG,AGUA,1943-01-01,OPERACION,2022-07-30
Sistema,CAS1,CENTRAL CASTILLA 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,RPEG,BAGAZO,2004-08-15,OPERACION,2022-07-30
Sistema,CCN1,COCONUCO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EMEG,AGUA,2000-09-27,OPERACION,2022-07-30
Sistema,CGM1,MAYAGUEZ 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,EPSG,BAGAZO,2010-08-17,OPERACION,2022-07-30
Sistema,CHBG,BETANIA,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,1987-11-01,OPERACION,2022-07-30
Sistema,CHVR,CHIVOR,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,CHVG,AGUA,1977-05-23,OPERACION,2022-07-30
Sistema,CIP1,INGENIO PROVIDENCIA,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,NTCG,BAGAZO,2009-05-18,OPERACION,2022-07-30
Sistema,CIS1,INGENIO SAN CARLOS 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,EPSG,BAGAZO,2011-07-23,OPERACION,2022-07-30
Sistema,CLDR,CALDERAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2006-06-30,OPERACION,2022-07-30
Sistema,CLL1,CARLOS LLERAS,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO AGUA ESPECIAL,HDPG,AGUA,2015-11-22,OPERACION,2022-07-30
Sistema,CLMG,CALIMA,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,1967-01-01,OPERACION,2022-07-30
Sistema,CMKY,FUTURA - CHEMESKY,EOLICA,DESPACHADO CENTRALMENTE,NORMAL,EGPG,VIENTO,2021-12-31,PRUEBAS,2022-07-30
Sistema,CMN1,AUTOG CEMENTOS DEL NARE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPMG,AGUA,2004-09-01,OPERACION,2022-07-30
Sistema,CMP2,CAMPESTRE (EPM),HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPMG,AGUA,1997-01-01,OPERACION,2022-07-30
